Nom,age,nationnalité,Position,res Position,valeur marchande,venant de 1,venant de 2,montant de la transaction,team_acheteur,team vendeur
Randal Kolo MuaniR. Kolo Muani,24,France,Avant-centre,AC,"80,00 mio. €",Eintracht Francfort,Allemagne,"95,00 mio. €",Paris Saint-Germain,
Manuel UgarteM. Ugarte,22,Uruguay,Milieu défensif,MDC,"55,00 mio. €",Sporting CP,Portugal,"60,00 mio. €",Paris Saint-Germain,
Ousmane DembéléO. Dembélé,26,France,Ailier droit,AiD,"60,00 mio. €",FC Barcelone,Espagne,"50,00 mio. €",Paris Saint-Germain,
Bradley BarcolaB. Barcola,20,France,Ailier droit,AiD,"35,00 mio. €",Olympique Lyonnais,France,"45,00 mio. €",Paris Saint-Germain,
Lucas HernándezL. Hernández,27,France,Défenseur central,DC,"45,00 mio. €",Bayern Munich,Allemagne,"45,00 mio. €",Paris Saint-Germain,
Hugo EkitikéH. Ekitiké,21,France,Avant-centre,AC,"15,00 mio. €",Stade de Reims,France,"28,50 mio. €",Paris Saint-Germain,
Kang-in LeeK. Lee,22,Corée du Sud,Milieu offensif,MO,"22,00 mio. €",RCD Mallorca,Espagne,"22,00 mio. €",Paris Saint-Germain,
Xavi SimonsX. Simons,20,Pays-Bas,Ailier droit,AiD,"70,00 mio. €",PSV Eindhoven,Pays-Bas,"4,00 mio. €",Paris Saint-Germain,
Arnau TenasA. Tenas,22,Espagne,Gardien de but,GdB,"5,00 mio. €",FC Barcelone Atlètic,Espagne,Tr. libre,Paris Saint-Germain,
Cher NdourC. Ndour,18,Italie,Milieu central,MC,"4,00 mio. €",SL Benfica B,Portugal,Tr. libre,Paris Saint-Germain,
Marco AsensioM. Asensio,27,Espagne,Ailier gauche,AiG,"25,00 mio. €",Real Madrid,Espagne,Tr. libre,Paris Saint-Germain,
Milan SkriniarM. Skriniar,28,Slovaquie,Défenseur central,DC,"50,00 mio. €",Inter Milan,Italie,Tr. libre,Paris Saint-Germain,
Gonçalo RamosG. Ramos,22,Portugal,Avant-centre,AC,"50,00 mio. €",SL Benfica,Portugal,Prêt,Paris Saint-Germain,
